Phase,Word1,Word2,Word3,Correct
training,kiwka,kiłka,kifka,2
training,zanek,żanek,rzanek,1
experiment,wąk,wąg,wak,3
experiment,krąb,krąd,kront,1
experiment,foźka,fożka,foszka,1
experiment,tułka,tufka,tówka,1
experiment,gonką,genką,gąką,2
experiment,mierup,mierób,mierót,3
experiment,kuzd,kust,kuzg,3
experiment,zdrudki,zdrubki,zdrupki,1
experiment,trydź,tryść,tryźć,1
experiment,bręgi,brengi,brangi,3
experiment,pród,pruf,prut,2
experiment,cielerz,cielecz,cielesz,2
experiment,niżdżka,nizdka,niszczka,2
experiment,kłocz,kłość,kłoźdź,1
experiment,cierąk,cierąb,cierąg,2
experiment,pależ,palerz,palecz,3
experiment,raźby,razby,raśby,2
experiment,gów,guf,guł,3
experiment,cielecz,cieleż,cielesz,1
experiment,lens,lons,ląs,1
experiment,szetka,szedka,szebka,3
experiment,kidzka,kizdka,kistka,1
experiment,krąby,kręby,kromby,2
experiment,giźki,giśki,gićki,3
experiment,srutki,srułki,srudki,2
experiment,kłenką,kłęką,kłonką,3
experiment,mieraś,mieradź,mierać,1
experiment,fidzka,ficka,fizka,3
experiment,nyżyć,nyszyć,nyrzyć,2
experiment,tarzyć,taszyć,tażyć,2
experiment,ładzka,łacka,łazka,3
experiment,goleś,goledź,goleć,1
experiment,kenka,kęka,konka,3
experiment,kutkę,kufkę,kudkę,2
experiment,mioźka,miośka,mioćka,3
experiment,lamba,ląba,lomba,1
experiment,włuszki,włuzdki,włustki,1
experiment,fiatka,fiadka,fiabka,3
experiment,wrens,wrons,wrąz,1
experiment,birycz,biryż,birysz,1
experiment,drów,druf,druł,3
experiment,fiźba,fizba,fiśba,2
experiment,roboż,roborz,robocz,3
experiment,tarak,tarat,tarag,2
experiment,prosz,prość,proźdź,1
experiment,łaszczka,łazdka,łażdżka,2
experiment,konysz,konycz,konyrz,2
experiment,stód,stól,stut,2
experiment,pęga,penga,pęda,3
experiment,predź,preść,preźć,1
experiment,rudkę,rubkę,rupkę,2
experiment,tazd,tast,task,3
experiment,karup,karut,karób,2
experiment,pronki,prenki,prąki,2
experiment,szufka,szułka,szówka,2
experiment,niźka,niszka,niżka,1
experiment,gląb,gląd,glont,1
experiment,trąk,trąg,trag,3
